Posted Date,Transaction Date,Transaction Type,Check/Serial #,Description,Amount,Daily Posted Balance
02/18/2025,02/18/2025,POS,,TARGET.COM 02-16-25 BROOKLYN PARK 4739 DEBIT CARD PURCHASE-PIN,($58.25),
02/18/2025,02/18/2025,Fee,,02-16-25 BELLAIRE 4739 PNC BANKDEBIT CARD NON-TRUIST ATM FEE,($3),
02/18/2025,02/18/2025,ATM,,PNC BANK 02-16-25 BELLAIRE 4739ATM NETWORK CASH WITHDRAWAL,($58.75),
02/18/2025,02/18/2025,POS,,RESUMEBUILDER.COM 02-17 800-442-4189 4739 DEBIT CARD PURCHASE,($23.95),
02/18/2025,02/18/2025,POS,,MCDONALD'S F3300 02-16 HOUSTON TX 4739 DEBIT CARD PURCHASE,($8.54),
02/18/2025,02/18/2025,POS,,CSC SERVICEWORK 02-17 BELLAIRE TX 4739 DEBIT CARD PURCHASE,($2.5),
02/18/2025,02/18/2025,POS,,WALGREENS STORE 5280 BUFF 02-17-25 HOUSTON TX 4739 DEBIT CARD PURCHASE-PIN,($67.41),
02/18/2025,02/18/2025,POS,,UBER *EATS 02-17 HELP.UBER.COM CA 4739 DEBIT CARD PURCHASE,($27.33),
02/18/2025,02/18/2025,Debit,,02-17-25 VISA DIRECT NY 4739 VENMO* MIGUEL VISA MONEY TRANSFER DEBIT,($355),
02/18/2025,02/18/2025,POS,,UBER *EATS 02-18 HELP.UBER.COM CA 4739 DEBIT CARD PURCHASE,($100.83),
02/18/2025,02/18/2025,POS,,IC* INSTACART 02-18 INSTACART.COM CA 4739 DEBIT CARD PURCHASE,($102.56),
02/18/2025,02/18/2025,POS,,UBER *EATS 02-18 HELP.UBER.COM CA 4739 DEBIT CARD PURCHASE,($28.36),
02/18/2025,02/18/2025,POS,,SPLICE.COM* SPLICE 02-18 SPLICE.COM NY 4739 DEBIT CARD RECURRING PYMT,($14.03),
02/18/2025,02/18/2025,Debit,,USATAXPYMT IRS 240544951659891 INTERNET PAYMENT,($2711.23),
02/18/2025,02/18/2025,Debit,,FACTS St Catherine Mon 000000234263928 INTERNET PAYMENT,($30),
02/18/2025,02/18/2025,Debit,,Debits P EMONEYUSAP 4840 MiguelGrillo ACH DEBIT,($175.1),
02/18/2025,02/18/2025,Debit,,GMF Pymt GM Financial 111079562664 RECURRING INTERNET PAYMENT,($1192.55),
02/18/2025,02/18/2025,Debit,,FACTS St Catherine Mon 000000234264066 INTERNET PAYMENT,($7469),
02/18/2025,02/18/2025,Debit,,D001524506 Spring Oaks Cap 6406Miguel Grillo ACH MISCELLANEOUS DEBIT,$0,
02/18/2025,02/18/2025,Debit,,D001525621 Spring Oaks Cap 112216406 ACH DEBIT,($79.52),
02/18/2025,02/18/2025,Debit,,Trhoupyt PAYMENT ID BBT288987609ZELLE PAYMENT TO,($575),$89756.00
02/19/2025,02/19/2025,POS,,DNH*GODADDY#359355 02-18 480-5058855 AZ 4739 DEBIT CARD RECURRING PYMT,($204.42),
02/19/2025,02/19/2025,POS,,ACI*CREDIT ONE BAN 02-18 877-825-3242 NV 4739 DEBIT CARD PURCHASE,($32.89),
02/19/2025,02/19/2025,POS,,RING STANDARD PLAN 02-18 RING.COM CA 4739 DEBIT CARD RECURRING PYMT,($10.81),
02/19/2025,02/19/2025,POS,,CTLP*Canteen Vendi 02-18 CHARLOTTE NC 4739 DEBIT CARD PURCHASE,($4),
02/19/2025,02/19/2025,POS,,CTLP*Canteen Vendi 02-18 CHARLOTTE NC 4739 DEBIT CARD PURCHASE,($1.5),
02/19/2025,02/19/2025,Debit,,Trhoupyt PAYMENT ID BBT289153293ZELLE PAYMENT TO,($385),$89117.38
02/20/2025,02/20/2025,POS,,CANTEEN 39 02-18 HUNT VALLEY MD4739 DEBIT CARD PURCHASE,($1.6),
02/20/2025,02/20/2025,POS,,CANTEEN 39 02-19 HUNT VALLEY MD4739 DEBIT CARD PURCHASE,($1.6),
02/20/2025,02/20/2025,Fee,,02-19-25 BELLAIRE 4739 P674294 DEBIT CARD NON-TRUIST ATM FEE,($3),
02/20/2025,02/20/2025,ATM,,P674294 02-19-25 BELLAIRE 4739 ATM NETWORK CASH WITHDRAWAL,($102.99),
02/20/2025,02/20/2025,POS,,APPLE.COM/BILL 02-19 866-712-7753 CA 4739 DEBIT CARD PURCHASE,($230.54),
02/20/2025,02/20/2025,POS,,IC* INSTACART 02-20 INSTACART.COM CA 4739 DEBIT CARD PURCHASE,($159.17),
02/20/2025,02/20/2025,POS,,IC* INSTACART 02-20 INSTACART.COM CA 4739 DEBIT CARD PURCHASE,($40.83),
02/20/2025,02/20/2025,POS,,IC* INSTACART 02-20 INSTACART.COM CA 4739 DEBIT CARD PURCHASE,($5.29),
02/20/2025,02/20/2025,Debit,,Bug State PAYMENT ID BBT289337429 ZELLE PAYMENT TO,($541.25),$88031.11
02/21/2025,02/21/2025,POS,,APPLE.COM/BILL 02-20 866-712-7753 CA 4739 DEBIT CARD RETURN,$17.8,
02/21/2025,02/21/2025,POS,,APPLE.COM/BILL 02-20 866-712-7753 CA 4739 DEBIT CARD RECURRING PYMT,($9.99),
02/21/2025,02/21/2025,POS,,ADVANCE FINANCIAL 02-20 615-341-5900 TN 4739 DEBIT CARD RECURRING PYMT,($497.44),
02/21/2025,02/21/2025,POS,,GITHUB INC. 02-20 GITHUB.COM CA4739 DEBIT CARD RECURRING PYMT,($10.66),
02/21/2025,02/21/2025,POS,,IFLY HOUSTON 02-20-25 HOUSTON TX4739 DEBIT CARD PURCHASE-PIN,($328.54),
02/21/2025,02/21/2025,POS,,UPWORK * -78209186 02-21 866-262-4478 CA 4739 DEBIT CARD PURCHASE,($838.43),
02/21/2025,02/21/2025,Debit,,Wells Fargo Grillo PAYMENT ID BBT289617712 ZELLE PAYMENT TO,($500),
02/21/2025,02/21/2025,Debit,,Abe PAYMENT ID BBT289654251 ZELLE PAYMENT TO,($250),$85613.85
02/24/2025,02/24/2025,POS,,WESTSIDE TENNIS 02-20 713-7831620 TX 4739 DEBIT CARD PURCHASE,($304.67),
02/24/2025,02/24/2025,POS,,Nyx*24TH ST LLC 02-21 Austin TX4739 DEBIT CARD PURCHASE,($2.1),
02/24/2025,02/24/2025,POS,,Nyx*24TH ST LLC 02-21 Austin TX4739 DEBIT CARD PURCHASE,($1.84),
02/24/2025,02/24/2025,POS,,Nyx*24TH ST LLC 02-21 Austin TX4739 DEBIT CARD PURCHASE,($1.31),
02/24/2025,02/24/2025,POS,,APPLE.COM/BILL 02-21 866-712-7753 CA 4739 DEBIT CARD PURCHASE,($15.13),
02/24/2025,02/24/2025,POS,,7-ELEVEN 02-21-25 HUMBLE 4739 DEBIT CARD PURCHASE-PIN,($11.9),
02/24/2025,02/24/2025,POS,,HCTRA EZ TAG REBIL 02-21 281-875-3279 TX 4739 DEBIT CARD PURCHASE,($20),
02/24/2025,02/24/2025,POS,,CANTEEN 39 02-21 HUNT VALLEY MD4739 DEBIT CARD PURCHASE,($2.1),
02/24/2025,02/24/2025,POS,,CANTEEN 39 02-21 HUNT VALLEY MD4739 DEBIT CARD PURCHASE,($1.6),
02/24/2025,02/24/2025,POS,,IFLY HOUSTON 02-21-25 HOUSTON TX4739 DEBIT CARD PURCHASE-PIN,($438.05),
02/24/2025,02/24/2025,Debit,,02-21-25 VISA DIRECT NY 4739 VENMO *IVAN BUZNEGO VISA MONEY TRANSFER DEBIT,($150),
02/24/2025,02/24/2025,POS,,PAYPAL *VULTR 02-21 402-935-7733NJ 4739 DEBIT CARD PURCHASE,($93.81),
02/24/2025,02/24/2025,POS,,UPWORK * -78225368 02-22 866-262-4478 CA 4739 DEBIT CARD PURCHASE,($737.31),
02/24/2025,02/24/2025,POS,,APPLE.COM/BILL 02-22 866-712-7753 CA 4739 DEBIT CARD PURCHASE,($54.11),
02/24/2025,02/24/2025,POS,,MICRO ELECTRONIC 5305 SOU 02-22-25 HOUSTON TX 4739 DEBIT CARD PURCHASE-PIN,($1155.5),
02/24/2025,02/24/2025,POS,,CHICK-FIL-A #03283 02-22 HOUSTONTX 4739 DEBIT CARD PURCHASE,($19.44),
02/24/2025,02/24/2025,Debit,,Bug State PAYMENT ID BBT289820257 ZELLE PAYMENT TO,($1200),
02/24/2025,02/24/2025,ATM,,KIRBY DRIVE BRANCH 02-22-25 4739TRUIST ATM CASH WITHDRAWAL,($800),
02/24/2025,02/24/2025,POS,,Nintendo COPPA 02-22 800-2553700WA 4739 DEBIT CARD PURCHASE,($0.5),
02/24/2025,02/24/2025,POS,,Nintendo CA1361461 02-22 800-2553700 WA 4739 DEBIT CARD PURCHASE,($21.64),
02/24/2025,02/24/2025,Debit,,02-22-25 VISA DIRECT NY 4739 VENMO* MIGUEL VISA MONEY TRANSFER DEBIT,($200),
02/24/2025,02/24/2025,POS,,MICROSOFT MICROSOFT*ST 02-22-25REDMOND 4739 DEBIT CARD PURCHASE-PIN,($1.08),
02/24/2025,02/24/2025,POS,,IC* INSTACART 02-23 INSTACART.COM CA 4739 DEBIT CARD PURCHASE,($166.12),
02/24/2025,02/24/2025,POS,,IC* INSTACART 02-23 INSTACART.COM CA 4739 DEBIT CARD PURCHASE,($29.78),
02/24/2025,02/24/2025,POS,,OLIVE GARDEN 00244 02-23 HOUSTONTX 4739 DEBIT CARD PURCHASE,($48.99),
02/24/2025,02/24/2025,Debit,,Insta PAYMENT ID BBT289905111 ZELLE PAYMENT TO,($80),
02/24/2025,02/24/2025,POS,,Nintendo CA1361673 02-23 800-2553700 WA 4739 DEBIT CARD PURCHASE,($32.46),
02/24/2025,02/24/2025,POS,,IC* INSTACART 02-23 INSTACART.COM CA 4739 DEBIT CARD PURCHASE,($73.6),
02/24/2025,02/24/2025,Debit,,02-22-25 VISA DIRECT NY 4739 VENMO* MIGUEL VISA MONEY TRANSFER DEBIT,($200),
02/24/2025,02/24/2025,POS,,CLAUDE.AI SUBSCRIP 02-23 ANTHROPIC.COM CA 4739 DEBIT CARD RECURRING PYMT,($21.32),
02/24/2025,02/24/2025,POS,,CURSOR AI POWERED 02-23 CURSOR.COM NY 4739 DEBIT CARD RECURRING PYMT,($20),
02/24/2025,02/24/2025,POS,,Nintendo CA1361955 02-23 800-2553700 WA 4739 DEBIT CARD PURCHASE,($6.48),
02/24/2025,02/24/2025,POS,,Nintendo CA1361961 02-23 800-2553700 WA 4739 DEBIT CARD PURCHASE,($6.48),
02/24/2025,02/24/2025,POS,,MICROSOFT MICROSOFT*ST 02-23-25REDMOND 4739 DEBIT CARD PURCHASE-PIN,($25.97),
02/24/2025,02/24/2025,POS,,MICROSOFT MICROSOFT*ST 02-23-25REDMOND 4739 DEBIT CARD PURCHASE-PIN,($2.15),
02/24/2025,02/24/2025,POS,,UBER *EATS 02-23 HELP.UBER.COM CA 4739 DEBIT CARD PURCHASE,($52.34),
02/24/2025,02/24/2025,Debit,,7fades PAYMENT ID BBT290002750 ZELLE PAYMENT TO,($30),
02/24/2025,02/24/2025,Fee,,02-23-25 BELLAIRE 4739 CHASE DEBIT CARD NON-TRUIST ATM FEE,($3),
02/24/2025,02/24/2025,ATM,,CHASE 02-23-25 BELLAIRE 4739 ATMNETWORK CASH WITHDRAWAL,($103.5),
02/24/2025,02/24/2025,POS,,UBER *EATS 02-24 HELP.UBER.COM CA 4739 DEBIT CARD PURCHASE,($36.54),
02/24/2025,02/24/2025,POS,,SHELL SERVICE STATION 02-23-25 HOUSTON TX 4739 DEBIT CARD PURCHASE-PIN,($7.06),
02/24/2025,02/24/2025,POS,,02-24-25 NEW YORK NY 4739 JANUARY TECHNOLOGIES IN DEBIT CARD PURCHASE,($485.77),
02/24/2025,02/24/2025,Debit,,Garage Door PAYMENT ID BBT290216790 ZELLE PAYMENT TO,($968),
02/24/2025,02/24/2025,Check,3548096835,CHECK #3548096835,($934.11),$77048.09
02/25/2025,02/25/2025,Deposit,,Credits P EMONEYUSAP 4840 MiguelGrillo ACH MISCELLANEOUS CREDIT,$0,
02/25/2025,02/25/2025,POS,,MENB709 MENCHIES B 02-23 BELLAIRE TX 4739 DEBIT CARD PURCHASE,($8.63),
02/25/2025,02/25/2025,POS,,AMAZON MKTPL*MJ8LB 02-24 Amzn.com/bill WA 4739 DEBIT CARD PURCHASE,($19.47),
02/25/2025,02/25/2025,POS,,NORTH AMERICAN HOL 02-24 716-8642238 NY 4739 DEBIT CARD PURCHASE,($160.07),
02/25/2025,02/25/2025,POS,,Upwork -783521726R 02-24 650-8534100 CA 4739 DEBIT CARD PURCHASE,($930.42),
02/25/2025,02/25/2025,ATM,,COINBASE 02-24 https://www.f CA4739 DEBIT CARD MISC DEBIT,($400),
02/25/2025,02/25/2025,Debit,,FACTS St Catherine Mon 000000235312073 INTERNET PAYMENT,($3734.41),
02/25/2025,02/25/2025,Debit,,PAY BY PHO CONT FINANCE 043000099516358 TELEPHONE PAYMENT,($600.64),
02/25/2025,02/25/2025,Debit,,Wells Fargo Grillo PAYMENT ID BBT290436059 ZELLE PAYMENT TO,($600),$70594.45
02/26/2025,02/26/2025,POS,,TODAY CASH 02-24 855-2162631 WI4739 DEBIT CARD PURCHASE,($705.89),
02/26/2025,02/26/2025,POS,,COUCHLAMBERT*TRAKB 02-24 504-838-7747 LA 4739 DEBIT CARD PURCHASE,($500),
02/26/2025,02/26/2025,POS,,CTLP*Canteen Vendi 02-25 CHARLOTTE NC 4739 DEBIT CARD PURCHASE,($4),
02/26/2025,02/26/2025,POS,,IC* INSTACART 02-26 INSTACART.COM CA 4739 DEBIT CARD PURCHASE,($219.93),
02/26/2025,02/26/2025,Debit,,FEE $03.00 FROSBK CK WEBXFR 12662123875 ONLINE EXTERNAL TRNSF,($5003),
02/26/2025,02/26/2025,Debit,,Wells Fargo Grillo PAYMENT ID BBT290463266 ZELLE PAYMENT TO,($460),
02/26/2025,02/26/2025,Debit,,Abe PAYMENT ID BBT290613275 ZELLE PAYMENT TO,($150),
02/26/2025,02/26/2025,Debit,,Olga Grillo PAYMENT ID BBT290613436 ZELLE PAYMENT TO,($25),$63526.63
02/27/2025,02/27/2025,POS,,CANTEEN 39 02-26 HUNT VALLEY MD4739 DEBIT CARD PURCHASE,($1.6),
02/27/2025,02/27/2025,Fee,,02-26-25 BELLAIRE 4739 PNC BANKDEBIT CARD NON-TRUIST ATM FEE,($3),
02/27/2025,02/27/2025,ATM,,PNC BANK 02-26-25 BELLAIRE 4739ATM NETWORK CASH WITHDRAWAL,($103.75),
02/27/2025,02/27/2025,POS,,UBERDUCK.AI 02-26 UBERDUCK.AI WA4739 DEBIT CARD RECURRING PYMT,($4),
02/27/2025,02/27/2025,Debit,,Payment ATT PAYN MIGUEL GRILLO ACH DEBIT,($55.5),$63358.78
02/28/2025,02/28/2025,Credit,,PAYROLL AWC INC. 0760 Grillo Miguel ACH CREDIT,$4319.46,
02/28/2025,02/28/2025,POS,,ADOBE *ADOBE 02-27 408-536-6000CA 4739 DEBIT CARD RECURRING PYMT,($21.64),
02/28/2025,02/28/2025,POS,,Prime Video Channe 02-27 amzn.com/bill WA 4739 DEBIT CARD PURCHASE,($14.06),
02/28/2025,02/28/2025,POS,,IC* INSTACART 02-28 INSTACART.COM CA 4739 DEBIT CARD PURCHASE,($214.77),
02/28/2025,02/28/2025,POS,,IC* INSTACART 02-28 INSTACART.COM CA 4739 DEBIT CARD PURCHASE,($4.53),
02/28/2025,02/28/2025,Debit,,Eyobel PAYMENT ID BBT290854546 ZELLE PAYMENT TO,($150),
02/28/2025,02/28/2025,ATM,,COINBASE 02-27 https://www.f CA4739 DEBIT CARD MISC DEBIT,($750),
02/28/2025,02/28/2025,Debit,,USATAXPYMT IRS 240545921178143 INTERNET PAYMENT,($1500),
02/28/2025,02/28/2025,Debit,,Debits P EMONEYUSAP 4840 MiguelGrillo ACH DEBIT,($175.1),
02/28/2025,02/28/2025,Debit,,Wells Fargo Grillo PAYMENT ID BBT290957821 ZELLE PAYMENT TO,($150),
02/28/2025,02/28/2025,Debit,,Abe PAYMENT ID BBT290965049 ZELLE PAYMENT TO,($525),
02/28/2025,02/28/2025,Debit,,LG4UJWYN Coinbase.com LG4UJWYNaec8 INTERNET PAYMENT,($29.99),$64143.15
03/03/2025,03/03/2025,Credit,,TRANSFER FROSBK CK WEBXFR 6875 MIGUEL GRILLO TRUIST ONLINE EXTERNAL TRNSF,$5003,
03/03/2025,03/03/2025,POS,,APPLE.COM/BILL 02-28 866-712-7753 CA 4739 DEBIT CARD PURCHASE,($22.67),
03/03/2025,03/03/2025,POS,,MISTER CAR WASH #0 02-28 HOUSTONTX 4739 DEBIT CARD RECURRING PYMT,($39.99),
03/03/2025,03/03/2025,POS,,STREAM ENERGY 02-28 888-685-7693TX 4739 DEBIT CARD PURCHASE,($165.77),
03/03/2025,03/03/2025,POS,,CAPITAL CURRENCY S 02-28 855-8032131 NY 4739 DEBIT CARD PURCHASE,($270.43),
03/03/2025,03/03/2025,Debit,,02-28-25 VISA DIRECT NY 4739 VENMO* MIGUEL VISA MONEY TRANSFER DEBIT,($100),
03/03/2025,03/03/2025,Debit,,02-28-25 VISA DIRECT NY 4739 VENMO* MIGUEL VISA MONEY TRANSFER DEBIT,($100),
03/03/2025,03/03/2025,Debit,,02-28-25 VISA DIRECT NY 4739 VENMO* MIGUEL VISA MONEY TRANSFER DEBIT,($50),
03/03/2025,03/03/2025,POS,,SHELL SERVICE STATION 02-28-25 BELLAIRE TX 4739 DEBIT CARD PURCHASE-PIN,($7.32),
03/03/2025,03/03/2025,POS,,IFLY HOUSTON 02-28-25 HOUSTON TX4739 DEBIT CARD PURCHASE-PIN,($547.57),
03/03/2025,03/03/2025,POS,,MED*TX CHILDRENS H 03-01 832-824-1000 TX 4739 DEBIT CARD PURCHASE,($614),
03/03/2025,03/03/2025,POS,,SHELL SERVICE STATION 02-28-25 HOUSTON TX 4739 DEBIT CARD PURCHASE-PIN,($3.78),
03/03/2025,03/03/2025,POS,,APPLE.COM/BILL 03-01 866-712-7753 CA 4739 DEBIT CARD PURCHASE,($21.64),
03/03/2025,03/03/2025,POS,,APPLE.COM/BILL 03-01 866-712-7753 CA 4739 DEBIT CARD PURCHASE,($50),
03/03/2025,03/03/2025,POS,,ABACUS.AI 03-01 ABACUS.AI CA 4739 DEBIT CARD PURCHASE,($10),
03/03/2025,03/03/2025,POS,,4TE*DYNAMARK MONIT 03-02 855-742-9180 MD 4739 DEBIT CARD RECURRING PYMT,($42.21),
03/03/2025,03/03/2025,POS,,PAYPAL *VULTR 03-01 402-935-7733NJ 4739 DEBIT CARD PURCHASE,($98.07),
03/03/2025,03/03/2025,POS,,NEO4J INC. 03-01 NEO4J.COM CA 4739 DEBIT CARD PURCHASE,($64.46),
03/03/2025,03/03/2025,POS,,AMAZON MKTPL*NP7OT 03-01 Amzn.com/bill WA 4739 DEBIT CARD PURCHASE,($20.51),
03/03/2025,03/03/2025,POS,,CULTS3D.COM 3D MOD 03-01 BRIVE LA GAIL 4739 DEBIT CARD PURCHASE,($2.01),
03/03/2025,03/03/2025,ATM,,BELLAIRE BRANCH 03-01-25 4739 TRUIST ATM CASH WITHDRAWAL,($800),
03/03/2025,03/03/2025,POS,,03-01-25 NEW YORK NY 4739 JANUARY TECHNOLOGIES IN DEBIT CARD PURCHASE,($227.5),
03/03/2025,03/03/2025,POS,,SQ *SOAP HAND CAR 03-01 HoustonTX 4739 DEBIT CARD PURCHASE,($40.9),
03/03/2025,03/03/2025,Debit,,03-01-25 VISA DIRECT NY 4739 VENMO *IVAN BUZNEGO VISA MONEY TRANSFER DEBIT,($100),
03/03/2025,03/03/2025,POS,,SOUTHWES 526231 03-01 800-435-9792 TX 4739 DEBIT CARD PURCHASE,($1627.84),
03/03/2025,03/03/2025,POS,,Fiverr 03-01 855-5859699 NY 4739DEBIT CARD PURCHASE,($296.92),
03/03/2025,03/03/2025,POS,,UBER *EATS 03-02 HELP.UBER.COM CA 4739 DEBIT CARD PURCHASE,($68.47),
03/03/2025,03/03/2025,POS,,APPLE.COM/BILL 03-02 866-712-7753 CA 4739 DEBIT CARD RECURRING PYMT,($25.74),
03/03/2025,03/03/2025,POS,,IC* INSTACART 03-02 INSTACART.COM CA 4739 DEBIT CARD PURCHASE,($174.27),
03/03/2025,03/03/2025,POS,,IC* INSTACART 03-02 INSTACART.COM CA 4739 DEBIT CARD PURCHASE,($37.62),
03/03/2025,03/03/2025,POS,,CULTS3D.COM 3D MOD 03-02 BRIVE LA GAIL 4739 DEBIT CARD PURCHASE,($1.55),
03/03/2025,03/03/2025,POS,,Prime Video *VV9XX 03-02 888-802-3080 WA 4739 DEBIT CARD PURCHASE,($21.64),
03/03/2025,03/03/2025,POS,,UBER *EATS 03-03 HELP.UBER.COM CA 4739 DEBIT CARD PURCHASE,($26.97),
03/03/2025,03/03/2025,POS,,www.fiverr.com 03-03 New York NY4739 DEBIT CARD PURCHASE,($114.21),
03/03/2025,03/03/2025,Debit,,CULTS3D.COM 3D MOD 03-01 BRIVE LA GAIL 4739 DEBIT CARD INT'L TRAN FEE,($0.06),
03/03/2025,03/03/2025,Debit,,PAYMENT VENMO 1040636253621 INTERNET PAYMENT,($48),
03/03/2025,03/03/2025,POS,,SHELL SERVICE STATION 03-03-25 BELLAIRE TX 4739 DEBIT CARD PURCHASE-PIN,($16.24),
03/03/2025,03/03/2025,Debit,,CULTS3D.COM 3D MOD 03-02 BRIVE LA GAIL 4739 DEBIT CARD INT'L TRAN FEE,($0.05),
03/03/2025,03/03/2025,Transfer,,WIRE REF# 20250303-00036422 OUTGOING WIRE TRANSFER,($35000),
